热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
254,ONLY夏新磨破毛边小脚九分牛仔裤女|117249517价格：549,ONLY官方旗舰店,63,63,15,//only.tmall.com,20,19,19,52,33,31,13,24,18,32,17,15,11,63
255,2017春季新款烟灰色百搭破洞牛仔裤女韩版小脚高腰九分裤学生潮秋价格：118,匹克玛旗舰店,63,63,15,//pikema.tmall.com,55,62,62,43,58,47,52,46,50,49,35,59,69,63
256,2017明星同款高腰黑色紧身牛仔裤女九分毛边开叉小脚裤显瘦韩版潮价格：89,依沐蓝旗舰店,62,62,21,//yimulan.tmall.com,,,,,,,,,,27,51,40,39,62
257,高腰烟灰色牛仔裤女夏小脚修身铅笔潮流薄款bf风紧身黑色九分裤子价格：128,晶彩日韩女装,62,62,80,//shop224859407.taobao.com,,,,,,,,,,,40,60,63,62
258,大码高腰薄款牛仔裤女夏宽松九分裤弹力显瘦女士胖mm潮长裤200斤价格：99,GO酷时尚牛仔坊,62,62,27,//gocoolsh.taobao.com,71,62,62,41,81,62,73,69,72,59,68,54,67,62
259,黑色膝盖破洞牛仔裤女九分裤夏薄款韩版高腰显瘦不规则紧身小脚裤价格：288,女主角春夏装,62,62,20,//shop67920509.taobao.com,,,,42,,,,36,35,27,36,37,66,62
260,天天特价夏季韩版外穿短裤薄款高腰弹力女超短裤学生紧身牛仔热裤价格：88,普洛米亚折扣店,62,64,29,//shop120391013.taobao.com,129,101,101,74,105,84,92,74,81,86,84,144,59,62
261,韩版显瘦女裤紧身薄款牛仔裤女夏季裤子春新款夏小脚长裤2017破洞价格：79,思嘉怡牛仔裤,61,61,21,//shop110089847.taobao.com,104,83,83,106,84,82,92,112,84,86,56,70,72,61
262,牛仔裤女夏小脚高腰韩版2017春秋季新款学生九分裤修身显瘦铅笔裤价格：105,蓉媛旗舰店,61,61,18,//rongyuan.tmall.com,28,,,41,37,36,39,32,46,42,41,52,40,61
263,弹力韩版九分牛仔裤女春夏季2017新款学生小脚修身显瘦高腰铅笔裤价格：79,广州布衣布舍,61,61,22,//shop102311603.taobao.com,80,89,89,61,52,39,65,69,74,45,80,62,63,61
264,牛仔裤女九分裤小脚春夏秋季2017新款弹力破洞显瘦铅笔裤子韩版潮价格：98,怜雪服饰旗舰店,61,61,19,//lianxuefs.tmall.com,26,32,32,32,51,49,41,65,75,79,53,29,51,61
265,春夏装加肥加大码高腰胖mm乞丐破洞九分牛仔裤女装宽松小脚长裤潮价格：99,胖MM大购物,61,62,24,//shop110089612.taobao.com,58,56,56,51,53,53,49,45,45,38,49,56,53,61
266,2017夏薄款黑色膝盖破洞牛仔裤女九分韩版高腰弹力修身显瘦小脚裤价格：198,伊粉旗舰店,61,61,17,//yifen.tmall.com,37,74,74,82,73,87,68,65,49,49,72,64,75,61
267,白色牛仔裤女九分裤2017春夏季新款韩版显瘦小脚长裤铅笔裤子女价格：169,罗米娜旗舰店,61,61,26,//luomina.tmall.com,,,,,21,29,38,53,34,41,44,54,77,61
268,黑色牛仔裤女九分裤春夏2017新款韩版显瘦铅笔裤chic学生小脚裤子价格：168,名驭旗舰店,60,61,25,//zzmingyu.tmall.com,,,,,33,47,61,53,59,50,42,65,55,60
269,2017夏秋装女装新款加肥加大码胖MM韩版宽松高腰弹力破洞九分裤潮价格：53.9,圆圆外贸原单大码女装,60,60,18,//shop71654366.taobao.com,24,,,,35,47,41,36,51,38,43,53,37,60
270,【88聚269元】ochirly欧时力洗水中腰棉质牛仔长裤1JJ2061880价格：539,ochirly官方旗舰店,60,60,27,//ochirly.tmall.com,,20,20,,,,,,24,,,,,60
271,2017夏破洞牛仔裤女新款韩版修身显瘦九分裤瘦腿裤女学生铅笔裤潮价格：198,鹿女郎旗舰店,60,60,22,//lunvlang.tmall.com,,,,,26,24,,35,66,67,60,81,69,60
